,precision,recall,f1-score,support
Normal,0.0,0.0,0.0,60.0
Cataract,0.5041322314049587,1.0,0.6703296703296703,61.0
accuracy,0.5041322314049587,0.5041322314049587,0.5041322314049587,0.5041322314049587
macro avg,0.25206611570247933,0.5,0.33516483516483514,121.0
weighted avg,0.2541493067413428,0.5041322314049587,0.33793479248024705,121.0
