,precision,recall,f1-score,support
Normal,0.9833333333333333,0.9833333333333333,0.9833333333333333,60.0
Cataract,0.9836065573770492,0.9836065573770492,0.9836065573770492,61.0
accuracy,0.9834710743801653,0.9834710743801653,0.9834710743801653,0.9834710743801653
macro avg,0.9834699453551912,0.9834699453551912,0.9834699453551912,121.0
weighted avg,0.9834710743801653,0.9834710743801653,0.9834710743801653,121.0
