,precision,recall,f1-score,support
Normal,0.9365079365079365,0.9833333333333333,0.959349593495935,60.0
Cataract,0.9827586206896551,0.9344262295081968,0.957983193277311,61.0
accuracy,0.9586776859504132,0.9586776859504132,0.9586776859504132,0.9586776859504132
macro avg,0.9596332785987958,0.958879781420765,0.958666393386623,121.0
weighted avg,0.9598243971284723,0.9586776859504132,0.9586607471047279,121.0
