,precision,recall,f1-score,support
Normal,0.49586776859504134,1.0,0.6629834254143646,60.0
Cataract,0.0,0.0,0.0,61.0
accuracy,0.49586776859504134,0.49586776859504134,0.49586776859504134,0.49586776859504134
macro avg,0.24793388429752067,0.5,0.3314917127071823,121.0
weighted avg,0.24588484393142546,0.49586776859504134,0.328752111775718,121.0
